Tipo de residuo;Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2017;802.570
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2016;794.580
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2015;822.222
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2014;770.997
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2013;777.284
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2012;826.883
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2011;1.010.610
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;08 Castilla - La Mancha;2010;968.613
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2021;2.020.834
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2020;2.060.770
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2019;2.201.896
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2018;2.216.496
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2017;2.350.780
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2016;2.276.881
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2015;2.283.180
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2014;2.402.829
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2013;2.495.715
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2012;2.334.367
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2011;2.570.746
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;09 Cataluña;2010;2.441.711
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2021;1.967.712
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2020;1.949.731
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2019;2.040.908
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2018;2.050.369
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2017;2.014.008
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2016;1.855.269
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2015;1.865.704
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2014;1.843.503
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2013;1.798.999
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2012;1.811.419
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2011;1.805.042
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;10 Comunitat Valenciana;2010;1.869.060
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2021;427.842
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2020;427.468
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2019;405.019
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2018;425.445
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2017;425.308
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2016;398.673
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2015;405.565
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2014;404.418
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2013;391.583
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2012;428.571
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2011;450.878
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;11 Extremadura;2010;491.529
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2021;926.558
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2020;924.891
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2019;971.791
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2018;940.395
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2017;938.191
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2016;933.618
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2015;925.608
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2014;923.724
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2013;906.675
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2012;930.930
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2011;983.351
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;12 Galicia;2010;1.002.349
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2021;1.745.906
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total Nacional;13 Comunidad de Madrid;2020;1.745.124
